player_id,inducted,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
grohhe01,0,1676,6074,918,1774,308,87,26,566,180,66,696,345,1927
gromest01,0,470,630,58,124,9,2,0,40,2,0,71,146,1957
groombo01,0,369,764,49,98,16,3,0,35,3,0,37,128,1918
grossgr01,0,1809,3745,449,1073,130,46,7,308,39,44,523,250,1989
grosske01,0,478,660,41,106,19,1,6,36,3,0,31,277,1997
grosski01,0,73,25,2,4,0,0,0,2,0,0,0,6,2000
grosswa01,0,1106,3125,373,727,126,9,121,396,24,22,482,496,1986
groteje01,0,1421,4339,352,1092,160,22,39,404,15,23,399,600,1981
grothjo01,0,1248,3808,480,1064,197,31,60,486,19,42,419,329,1960
grovele01,1,619,1369,119,202,27,5,15,121,1,1,105,593,1941
groveor01,0,207,373,23,48,4,2,1,19,0,2,31,128,1949
grubbjo01,0,1424,4154,553,1153,207,29,99,475,27,33,566,558,1987
grubefr01,0,394,1125,121,274,59,5,1,107,12,5,131,88,1941
grubeke01,0,939,3159,431,818,148,24,117,443,80,33,197,504,1993
grzenjo01,0,219,30,1,2,0,0,0,1,0,0,2,19,1972
gubicma01,0,384,0,0,0,0,0,0,0,0,0,0,0,1997
guerrmi01,0,565,1581,168,382,42,14,9,168,25,12,131,123,1951
guerrpe01,0,1536,5392,730,1618,267,29,215,898,97,47,609,862,1992
guettle01,0,425,4,0,1,1,0,0,1,0,0,0,2,1996
guidrro01,0,380,0,4,0,0,0,0,0,0,0,0,0,1988
guilloz01,0,1993,6686,773,1764,275,69,28,619,169,108,239,511,2000
gullibi01,0,398,576,30,81,16,0,3,27,0,1,20,152,1994
gumbeha01,0,512,708,50,130,13,3,5,45,0,0,18,185,1950
gumpera01,0,267,329,23,60,2,0,0,23,0,0,9,84,1952
gundeer01,0,254,6,1,0,0,0,0,0,0,0,0,4,2000
gunsojo01,0,229,826,96,174,21,6,0,68,4,0,34,40,1893
gurala01,0,405,33,1,3,0,0,0,1,0,0,2,15,1985
gustifr01,0,1261,4582,553,1214,222,47,38,480,60,1,369,427,1950
guttedo01,0,1151,4202,586,1075,200,64,39,391,95,37,309,444,1948
guzmajo01,0,193,71,1,7,0,0,0,2,0,0,2,19,1994
guzmaju01,0,240,34,1,4,0,0,0,3,0,0,1,14,2000
gwynnch01,0,599,1007,119,263,36,11,17,118,2,4,71,171,1996
gwynnto01,1,2440,9288,1383,3141,543,85,135,1138,319,125,790,434,2001
haasbe01,0,721,2440,263,644,93,32,22,263,51,0,204,188,1951
haasmo01,0,269,0,0,0,0,0,0,0,0,0,0,0,1987
haasmu01,0,1168,4303,706,1257,254,45,43,496,12,16,433,299,1938
habyajo01,0,348,5,0,0,0,0,0,0,0,0,2,2,1996
hackewa02,0,316,401,23,78,5,3,0,24,1,0,5,51,1961
hackst01,0,1938,7278,1239,2193,363,81,57,642,165,0,1092,466,1947
haddiha01,0,531,798,95,169,37,9,4,64,4,0,46,162,1965
hadlebu01,0,528,1004,84,190,29,4,0,75,3,1,88,187,1941
haeffbi01,0,59,180,8,35,4,1,0,14,1,1,8,15,1928
hafeych01,1,1283,4625,777,1466,341,67,164,833,70,7,372,477,1937
haidha01,0,120,72,4,9,1,0,0,4,0,0,5,22,1933
haineje01,1,560,1124,76,209,23,2,3,79,2,0,30,246,1937
hairsje01,0,859,1699,216,438,91,6,30,205,4,5,282,240,1989
haleod01,0,1062,3701,551,1071,240,51,73,573,57,45,353,315,1941
halesa01,0,883,2915,422,880,157,54,30,392,41,20,130,218,1930
hallabi01,0,328,557,43,90,14,1,2,32,1,0,36,199,1938
hallch02,0,211,371,32,73,10,9,2,40,1,0,17,16,1918
halldi01,0,669,714,79,150,15,4,4,56,6,2,61,147,1971
halleto01,0,1294,3935,461,1011,153,31,134,504,14,30,477,593,1972
hallmbi01,0,1503,6012,937,1634,234,81,21,769,200,0,425,283,1903
hallme01,0,1276,4237,568,1171,229,25,134,620,31,22,267,575,1996
hallto01,0,368,192,24,31,2,0,0,2,0,0,7,55,1977
hamilbi01,1,1591,6268,1690,2158,242,94,40,736,912,0,1187,218,1901
hamilda02,0,1328,4577,707,1333,204,37,51,454,163,73,493,494,2001
hamilea01,0,410,733,40,112,14,4,0,30,5,2,76,165,1924
hamilst01,0,425,112,8,14,0,2,0,6,0,0,5,25,1972
hamlike01,0,468,1340,143,323,53,4,11,89,17,11,125,146,1966
hamlilu01,0,265,463,24,76,7,2,1,31,0,0,17,115,1944
hammaat01,0,249,305,10,36,1,0,0,10,1,0,10,99,1995
hamnegr01,0,1531,5839,711,1529,272,62,104,708,35,14,351,432,1962
handlle01,0,968,3356,418,902,122,45,15,297,68,0,267,204,1947
handsbi01,0,374,472,19,37,6,0,0,19,0,0,39,249,1975
haneych01,0,197,36,2,4,0,0,0,4,0,0,0,4,2002
haneyla01,0,480,919,68,198,30,1,12,73,3,2,44,175,1978
hankifr01,0,849,3272,410,747,122,39,13,344,31,0,170,211,1888
hanlone01,1,1267,5074,930,1317,159,79,30,517,329,0,471,357,1892
hannaji01,0,276,209,10,19,0,0,0,4,0,0,8,107,1971
